Img_Time(Sec),GPS_Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
12.13732,12.58701,59.6606244198,10.6766954367,6614809.810,594471.777
12.29968,12.58701,59.6606244198,10.6766954367,6614809.810,594471.777
12.47782,12.58701,59.6606244198,10.6766954367,6614809.810,594471.777
12.65019,12.58703,59.6606268758,10.6767012933,6614810.092,594472.100
12.79933,12.58703,59.6606268758,10.6767012933,6614810.092,594472.100
12.96492,12.58703,59.6606268758,10.6767012933,6614810.092,594472.100
13.13175,12.58703,59.6606268758,10.6767012933,6614810.092,594472.100
13.29679,12.58703,59.6606268758,10.6767012933,6614810.092,594472.100
13.48097,12.58703,59.6606268758,10.6767012933,6614810.092,594472.100
13.63387,12.58703,59.6606268758,10.6767012933,6614810.092,594472.100
13.79762,14.82132,59.6606293195,10.6767074100,6614810.373,594472.438
13.96750,14.82132,59.6606293195,10.6767074100,6614810.373,594472.438
14.13493,14.82132,59.6606293195,10.6767074100,6614810.373,594472.438
14.31298,14.82132,59.6606293195,10.6767074100,6614810.373,594472.438
14.46771,14.82132,59.6606293195,10.6767074100,6614810.373,594472.438
14.63112,14.82132,59.6606293195,10.6767074100,6614810.373,594472.438
14.79668,14.82132,59.6606293195,10.6767074100,6614810.373,594472.438
14.88630,14.82132,59.6606293195,10.6767074100,6614810.373,594472.438
14.88630,14.82132,59.6606317057,10.6767131367,6614810.646,594472.754
15.07912,14.82132,59.6606317057,10.6767131367,6614810.646,594472.754
15.21390,14.82132,59.6606317057,10.6767131367,6614810.646,594472.754
15.37813,14.82132,59.6606317057,10.6767131367,6614810.646,594472.754
15.55407,14.82132,59.6606317057,10.6767131367,6614810.646,594472.754
15.75552,14.82132,59.6606317057,10.6767131367,6614810.646,594472.754
15.87317,14.82132,59.6606317057,10.6767131367,6614810.646,594472.754
16.07936,17.16687,59.6606341595,10.6767189983,6614810.928,594473.077
16.20566,17.16687,59.6606341595,10.6767189983,6614810.928,594473.077
16.37456,17.16687,59.6606341595,10.6767189983,6614810.928,594473.077
16.58908,17.16687,59.6606341595,10.6767189983,6614810.928,594473.077
16.70208,17.16687,59.6606341595,10.6767189983,6614810.928,594473.077
16.90859,17.16687,59.6606341595,10.6767189983,6614810.928,594473.077
17.04055,17.16687,59.6606341595,10.6767189983,6614810.928,594473.077
17.20074,17.16688,59.6606365595,10.6767250500,6614811.204,594473.411
17.38471,17.16688,59.6606365595,10.6767250500,6614811.204,594473.411
17.57219,17.16688,59.6606365595,10.6767250500,6614811.204,594473.411
17.69654,18.08245,59.6606390493,10.6767310117,6614811.489,594473.740
17.90716,18.08245,59.6606390493,10.6767310117,6614811.489,594473.740
