Time(Sec),Roll(rad),Pitch(rad),Yaw(rad),A_x(m/s2),A_y(m/s2),A_z(m/s2)
0.011593,-0.050468,-0.107023,0.164524,1.044552,-0.503654,9.688556
0.011764,-0.050463,-0.107007,0.164543,1.037274,-0.507609,9.697384
0.011769,-0.050467,-0.106998,0.164535,1.029882,-0.502719,9.694942
0.012146,-0.050488,-0.107014,0.164542,1.030563,-0.487221,9.688969
0.012328,-0.050464,-0.107010,0.164542,1.031749,-0.490300,9.697695
0.012333,-0.050451,-0.107008,0.164534,1.051608,-0.491501,9.693124
0.012350,-0.050470,-0.106980,0.164520,1.029596,-0.483406,9.695858
0.012355,-0.050479,-0.106964,0.164528,1.022804,-0.478164,9.688593
0.012358,-0.050470,-0.106963,0.164529,1.030995,-0.489872,9.688627
0.012361,-0.050493,-0.106959,0.164548,1.025816,-0.491576,9.693818
0.012364,-0.050528,-0.106977,0.164583,1.037930,-0.496256,9.711697
0.012367,-0.050557,-0.106972,0.164609,1.047626,-0.500537,9.686260
0.012370,-0.050551,-0.106981,0.164583,1.049973,-0.495302,9.688769
0.012864,-0.050562,-0.106965,0.164593,1.035230,-0.501168,9.682282
0.012892,-0.050536,-0.106965,0.164581,1.059698,-0.512093,9.695118
0.013024,-0.050536,-0.106977,0.164584,1.046502,-0.506496,9.692422
0.013029,-0.050568,-0.106971,0.164598,1.059624,-0.512569,9.691499
0.013034,-0.050577,-0.106972,0.164614,1.053808,-0.519287,9.688382
0.200524,-0.050557,-0.106944,0.164584,1.049224,-0.518539,9.688625
0.200531,-0.050552,-0.106924,0.164576,1.042164,-0.519979,9.691639
0.200536,-0.050544,-0.106916,0.164577,1.029072,-0.504889,9.689158
0.200542,-0.050527,-0.106910,0.164566,1.045335,-0.518733,9.692841
0.201024,-0.050550,-0.106913,0.164581,1.024667,-0.514901,9.693750
0.201040,-0.050548,-0.106891,0.164587,1.026457,-0.507893,9.675531
0.201044,-0.050544,-0.106877,0.164579,1.036559,-0.508871,9.692798
0.201049,-0.050553,-0.106875,0.164588,1.032341,-0.511188,9.684714
0.201053,-0.050532,-0.106870,0.164593,1.041713,-0.498467,9.697603
0.201060,-0.050532,-0.106867,0.164595,1.041673,-0.513262,9.698004
0.201067,-0.050541,-0.106877,0.164586,1.046685,-0.514157,9.695952
0.201073,-0.050527,-0.106900,0.164589,1.053322,-0.505746,9.693291
0.201095,-0.050518,-0.106918,0.164581,1.050175,-0.513131,9.688236
0.201106,-0.050543,-0.106902,0.164581,1.059414,-0.503576,9.684836
0.201119,-0.050575,-0.106895,0.164570,1.056407,-0.501212,9.691093
0.201124,-0.050567,-0.106869,0.164543,1.063959,-0.507113,9.688615
0.247923,-0.050590,-0.106883,0.164548,1.059200,-0.506492,9.690393
0.247959,-0.050562,-0.106887,0.164530,1.046955,-0.512388,9.687872
0.247962,-0.050570,-0.106895,0.164506,1.040212,-0.511231,9.700045
0.247966,-0.050544,-0.106890,0.164519,1.030718,-0.508228,9.689044
0.261014,-0.050526,-0.106894,0.164497,1.014627,-0.499100,9.705058
0.261021,-0.050553,-0.106873,0.164466,1.034223,-0.513317,9.702576
0.261024,-0.050571,-0.106890,0.164465,1.021635,-0.504004,9.683702
0.261028,-0.050591,-0.106881,0.164468,1.027415,-0.499012,9.684916
0.261032,-0.050629,-0.106890,0.164461,1.034126,-0.506528,9.690235
0.610641,-0.050624,-0.106906,0.164476,1.045702,-0.507996,9.687970
0.610647,-0.050647,-0.106890,0.164487,1.037916,-0.507796,9.698468
0.610654,-0.050652,-0.106890,0.164461,1.047023,-0.494749,9.699157
0.610661,-0.050655,-0.106887,0.164439,1.063783,-0.510708,9.688601
0.610680,-0.050662,-0.106880,0.164447,1.065197,-0.512295,9.691860
0.610706,-0.050655,-0.106863,0.164431,1.041374,-0.502796,9.682175
0.610710,-0.050641,-0.106880,0.164423,1.063208,-0.517481,9.680169
0.610716,-0.050621,-0.106883,0.164421,1.040453,-0.498084,9.696880
0.610740,-0.050611,-0.106895,0.164395,1.046637,-0.517274,9.693184
0.610752,-0.050616,-0.106903,0.164383,1.054700,-0.519156,9.686919
0.610767,-0.050604,-0.106903,0.164402,1.029193,-0.502565,9.681664
0.610774,-0.050646,-0.106898,0.164395,1.054472,-0.510876,9.682072
0.610780,-0.050655,-0.106885,0.164385,1.031320,-0.503927,9.685789
0.610784,-0.050669,-0.106893,0.164389,1.033679,-0.505990,9.689519
0.610791,-0.050632,-0.106910,0.164385,1.032831,-0.497908,9.695415
0.611344,-0.050662,-0.106913,0.164376,1.031442,-0.503143,9.694582
0.611348,-0.050645,-0.106916,0.164373,1.031031,-0.504177,9.693618
0.611352,-0.050638,-0.106889,0.164372,1.025485,-0.498467,9.696386
0.611364,-0.050670,-0.106895,0.164394,1.038459,-0.488761,9.684277
0.611368,-0.050675,-0.106882,0.164410,1.045704,-0.497988,9.689394
0.611374,-0.050666,-0.106893,0.164429,1.048950,-0.499181,9.700745
0.611384,-0.050636,-0.106890,0.164440,1.042161,-0.510707,9.682320
0.611388,-0.050604,-0.106890,0.164433,1.052887,-0.506074,9.680506
0.611402,-0.050623,-0.106860,0.164428,1.045682,-0.514649,9.692099
0.611406,-0.050622,-0.106870,0.164455,1.035665,-0.516018,9.691853
0.611413,-0.050624,-0.106875,0.164428,1.047323,-0.511505,9.686787
0.611416,-0.050618,-0.106877,0.164447,1.042076,-0.513474,9.691015
0.611420,-0.050630,-0.106903,0.164425,1.036112,-0.501528,9.685390
0.611427,-0.050622,-0.106900,0.164418,1.044655,-0.513334,9.687396
0.611431,-0.050613,-0.106886,0.164398,1.036078,-0.516185,9.701502
0.611443,-0.050636,-0.106875,0.164417,1.045165,-0.520747,9.692710
0.611453,-0.050644,-0.106878,0.164420,1.041262,-0.507720,9.686407
0.611467,-0.050635,-0.106861,0.164440,1.036557,-0.504633,9.682061
0.611471,-0.050636,-0.106846,0.164433,1.035044,-0.509346,9.696909
0.611474,-0.050639,-0.106830,0.164418,1.033687,-0.502332,9.677334
0.611488,-0.050630,-0.106817,0.164422,1.042968,-0.499503,9.689285
0.611496,-0.050647,-0.106809,0.164419,1.039579,-0.509930,9.698717
0.611505,-0.050668,-0.106800,0.164417,1.052481,-0.508354,9.695954
0.653973,-0.050707,-0.106801,0.164410,1.042668,-0.513220,9.689304
0.653976,-0.050732,-0.106798,0.164413,1.052820,-0.499801,9.685298
0.653979,-0.050724,-0.106816,0.164425,1.046777,-0.499211,9.687705
0.660401,-0.050706,-0.106818,0.164421,1.044239,-0.511848,9.688961
0.660997,-0.050710,-0.106809,0.164452,1.038803,-0.506546,9.695450
0.661018,-0.050669,-0.106831,0.164437,1.035220,-0.494568,9.699991
0.661043,-0.050651,-0.106829,0.164453,1.053071,-0.511158,9.693064
0.676128,-0.050641,-0.106827,0.164445,1.046363,-0.505038,9.693159
0.687344,-0.050604,-0.106822,0.164438,1.044940,-0.510437,9.684731
0.714028,-0.050582,-0.106845,0.164462,1.036235,-0.504182,9.702072
0.714116,-0.050577,-0.106847,0.164466,1.046962,-0.512045,9.691852
0.727343,-0.050569,-0.106848,0.164473,1.038313,-0.512031,9.680986
0.727355,-0.050576,-0.106843,0.164477,1.041630,-0.506662,9.690259
0.740730,-0.050584,-0.106841,0.164471,1.030110,-0.509861,9.702082
0.754000,-0.050612,-0.106872,0.164465,1.046496,-0.507301,9.683483
0.754008,-0.050605,-0.106867,0.164441,1.042774,-0.506456,9.681821
0.781835,-0.050600,-0.106881,0.164444,1.041203,-0.495631,9.691305
0.807441,-0.050585,-0.106888,0.164418,1.050050,-0.510224,9.698714
0.807449,-0.050576,-0.106882,0.164406,1.050558,-0.503051,9.685433
0.807453,-0.050590,-0.106897,0.164429,1.038692,-0.504087,9.688308
0.834206,-0.050575,-0.106892,0.164430,1.046919,-0.503028,9.689415
0.834212,-0.050608,-0.106893,0.164396,1.049854,-0.511218,9.695576
0.834217,-0.050599,-0.106896,0.164421,1.045725,-0.510681,9.690632
0.834221,-0.050582,-0.106919,0.164405,1.044874,-0.502813,9.696035
