Img_Time(Sec),GPS_Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
5.42395,5.55140,59.6610750562,10.6748276033,6614857.326,594365.284
5.56015,5.55140,59.6610750562,10.6748276033,6614857.326,594365.284
5.72624,5.55140,59.6610750562,10.6748276033,6614857.326,594365.284
5.92700,5.55140,59.6610750562,10.6748276033,6614857.326,594365.284
6.07202,6.56471,59.6610770513,10.6748321450,6614857.555,594365.535
6.25179,6.56471,59.6610770513,10.6748321450,6614857.555,594365.535
6.39037,6.56471,59.6610770513,10.6748321450,6614857.555,594365.535
6.55654,6.56471,59.6610770513,10.6748321450,6614857.555,594365.535
6.73968,6.56471,59.6610770513,10.6748321450,6614857.555,594365.535
6.89107,6.56471,59.6610770513,10.6748321450,6614857.555,594365.535
7.08408,6.56471,59.6610770513,10.6748321450,6614857.555,594365.535
7.08408,7.59236,59.6610805367,10.6748411333,6614857.956,594366.031
7.25009,7.59236,59.6610805367,10.6748411333,6614857.956,594366.031
7.41851,7.59236,59.6610805367,10.6748411333,6614857.956,594366.031
7.58304,7.59236,59.6610805367,10.6748411333,6614857.956,594366.031
7.74809,7.59236,59.6610805367,10.6748411333,6614857.956,594366.031
7.91791,7.59236,59.6610805367,10.6748411333,6614857.956,594366.031
8.08399,8.56348,59.6610820973,10.6748452283,6614858.135,594366.257
8.24916,8.56348,59.6610820973,10.6748452283,6614858.135,594366.257
8.41471,8.56348,59.6610820973,10.6748452283,6614858.135,594366.257
8.58155,8.56348,59.6610820973,10.6748452283,6614858.135,594366.257
8.76715,8.56348,59.6610820973,10.6748452283,6614858.135,594366.257
8.91757,8.56348,59.6610820973,10.6748452283,6614858.135,594366.257
9.08285,8.56348,59.6610820973,10.6748452283,6614858.135,594366.257
9.24978,9.61627,59.6610838477,10.6748497117,6614858.337,594366.505
9.41499,9.61627,59.6610838477,10.6748497117,6614858.337,594366.505
9.58440,9.61627,59.6610838477,10.6748497117,6614858.337,594366.505
9.74965,9.61627,59.6610838477,10.6748497117,6614858.337,594366.505
9.92100,9.61627,59.6610838477,10.6748497117,6614858.337,594366.505
10.08930,9.61627,59.6610838477,10.6748497117,6614858.337,594366.505
10.26561,10.60255,59.6610857330,10.6748542400,6614858.553,594366.755
10.41600,10.60255,59.6610857330,10.6748542400,6614858.553,594366.755
10.58562,10.60255,59.6610857330,10.6748542400,6614858.553,594366.755
10.78088,10.60255,59.6610857330,10.6748542400,6614858.553,594366.755
10.93308,10.60255,59.6610857330,10.6748542400,6614858.553,594366.755
11.08299,11.56328,59.6610875488,10.6748587133,6614858.761,594367.002
11.25357,11.56328,59.6610875488,10.6748587133,6614858.761,594367.002
11.41590,11.56328,59.6610875488,10.6748587133,6614858.761,594367.002
11.58619,11.56328,59.6610875488,10.6748587133,6614858.761,594367.002
11.75292,11.56328,59.6610875488,10.6748587133,6614858.761,594367.002
11.93667,11.56328,59.6610875488,10.6748587133,6614858.761,594367.002
12.11225,12.56153,59.6610892365,10.6748634383,6614858.956,594367.263
12.24885,12.56153,59.6610892365,10.6748634383,6614858.956,594367.263
12.41596,12.56153,59.6610892365,10.6748634383,6614858.956,594367.263
12.59524,12.56153,59.6610892365,10.6748634383,6614858.956,594367.263
12.74901,12.56153,59.6610892365,10.6748634383,6614858.956,594367.263
12.92285,12.56153,59.6610892365,10.6748634383,6614858.956,594367.263
13.08172,13.57484,59.6610910958,10.6748681567,6614859.170,594367.524
13.24790,13.57484,59.6610910958,10.6748681567,6614859.170,594367.524
13.43657,13.57484,59.6610910958,10.6748681567,6614859.170,594367.524
13.58051,13.57484,59.6610910958,10.6748681567,6614859.170,594367.524
13.74925,13.57484,59.6610910958,10.6748681567,6614859.170,594367.524
13.91702,13.57484,59.6610910958,10.6748681567,6614859.170,594367.524
14.10194,14.57377,59.6610930020,10.6748726283,6614859.388,594367.770
14.26144,14.57377,59.6610930020,10.6748726283,6614859.388,594367.770
14.43136,14.57377,59.6610930020,10.6748726283,6614859.388,594367.770
14.52076,14.57377,59.6610930020,10.6748726283,6614859.388,594367.770
14.71991,14.57377,59.6610930020,10.6748726283,6614859.388,594367.770
14.84374,14.57377,59.6610930020,10.6748726283,6614859.388,594367.770
15.00143,14.57377,59.6610930020,10.6748726283,6614859.388,594367.770
15.18176,15.55904,59.6610949012,10.6748773900,6614859.607,594368.033
15.33138,15.55904,59.6610949012,10.6748773900,6614859.607,594368.033
15.49835,15.55904,59.6610949012,10.6748773900,6614859.607,594368.033
15.66437,15.55904,59.6610949012,10.6748773900,6614859.607,594368.033
15.82751,15.55904,59.6610949012,10.6748773900,6614859.607,594368.033
15.99514,15.55904,59.6610949012,10.6748773900,6614859.607,594368.033
16.15972,16.58513,59.6610967318,10.6748818417,6614859.817,594368.279
16.32374,16.58513,59.6610967318,10.6748818417,6614859.817,594368.279
16.49649,16.58513,59.6610967318,10.6748818417,6614859.817,594368.279
16.69374,16.58513,59.6610967318,10.6748818417,6614859.817,594368.279
16.81843,16.58513,59.6610967318,10.6748818417,6614859.817,594368.279
16.98456,16.58513,59.6610967318,10.6748818417,6614859.817,594368.279
17.15280,17.57174,59.6610984273,10.6748863767,6614860.012,594368.530
17.33437,17.57174,59.6610984273,10.6748863767,6614860.012,594368.530
17.48399,17.57174,59.6610984273,10.6748863767,6614860.012,594368.530
17.68656,17.57174,59.6610984273,10.6748863767,6614860.012,594368.530
17.81406,17.57174,59.6610984273,10.6748863767,6614860.012,594368.530
17.97692,17.57174,59.6610984273,10.6748863767,6614860.012,594368.530
18.15321,18.55759,59.6611002813,10.6748910717,6614860.225,594368.789
18.32157,18.55759,59.6611002813,10.6748910717,6614860.225,594368.789
18.47675,18.55759,59.6611002813,10.6748910717,6614860.225,594368.789
18.64482,18.55759,59.6611002813,10.6748910717,6614860.225,594368.789
18.80526,18.55759,59.6611002813,10.6748910717,6614860.225,594368.789
18.97010,18.55759,59.6611002813,10.6748910717,6614860.225,594368.789
19.14021,19.58328,59.6611020657,10.6748956283,6614860.430,594369.041
19.33107,19.58328,59.6611020657,10.6748956283,6614860.430,594369.041
19.51153,19.58328,59.6611020657,10.6748956283,6614860.430,594369.041
19.63214,19.58328,59.6611020657,10.6748956283,6614860.430,594369.041
19.82545,19.58328,59.6611020657,10.6748956283,6614860.430,594369.041
19.96657,19.58328,59.6611020657,10.6748956283,6614860.430,594369.041
20.13408,20.58296,59.6611038897,10.6749003817,6614860.640,594369.303
20.31873,20.58296,59.6611038897,10.6749003817,6614860.640,594369.303
20.50748,20.58296,59.6611038897,10.6749003817,6614860.640,594369.303
20.62763,20.58296,59.6611038897,10.6749003817,6614860.640,594369.303
20.81074,20.58296,59.6611038897,10.6749003817,6614860.640,594369.303
20.95813,20.58296,59.6611038897,10.6749003817,6614860.640,594369.303
21.12998,21.61080,59.6611057103,10.6749049700,6614860.849,594369.557
21.29198,21.61080,59.6611057103,10.6749049700,6614860.849,594369.557
21.45349,21.61080,59.6611057103,10.6749049700,6614860.849,594369.557
21.62151,21.61080,59.6611057103,10.6749049700,6614860.849,594369.557
21.78967,21.61080,59.6611057103,10.6749049700,6614860.849,594369.557
21.95036,21.61080,59.6611057103,10.6749049700,6614860.849,594369.557
22.16220,21.61080,59.6611057103,10.6749049700,6614860.849,594369.557
22.28216,21.61080,59.6611057103,10.6749049700,6614860.849,594369.557
22.50264,21.61080,59.6611057103,10.6749049700,6614860.849,594369.557
22.61244,21.61080,59.6611057103,10.6749049700,6614860.849,594369.557
22.78018,21.61080,59.6611057103,10.6749049700,6614860.849,594369.557
22.99267,21.61080,59.6611057103,10.6749049700,6614860.849,594369.557
23.11243,21.61080,59.6611057103,10.6749049700,6614860.849,594369.557
23.11243,23.56973,59.6611110497,10.6749187867,6614861.463,594370.320
