Img_Time(Sec),IMU_Time(Sec),Roll(rad),Pitch(rad),Yaw(rad)
11.58619,11.58634,-0.05577,-0.09505,0.21743
11.75292,11.74650,-0.05502,-0.09705,0.21497
11.93667,11.94658,-0.05587,-0.09592,0.21200
12.11225,12.10594,-0.05576,-0.09419,0.21254
12.24885,12.25310,-0.05650,-0.09411,0.21270
12.41596,12.43933,-0.05688,-0.09498,0.21361
12.59524,12.59935,-0.05663,-0.09423,0.21268
12.74901,12.77889,-0.05585,-0.09395,0.21357
12.92285,12.91897,-0.05549,-0.09193,0.20064
13.08172,13.09249,-0.05382,-0.09280,0.19121
13.24790,13.25238,-0.05205,-0.09214,0.18669
13.43657,13.43847,-0.05114,-0.09209,0.18608
13.58051,13.61194,-0.05150,-0.09179,0.18704
13.74925,13.74535,-0.05278,-0.09081,0.18795
13.91702,13.91841,-0.05288,-0.08938,0.19006
14.10194,14.10700,-0.04960,-0.08712,0.19347
14.26144,14.25193,-0.05002,-0.08821,0.19456
14.43136,14.43801,-0.05083,-0.08883,0.19494
14.52076,14.53165,-0.05046,-0.08873,0.19559
14.71991,14.71787,-0.04916,-0.08975,0.19873
14.84374,14.83811,-0.04989,-0.09105,0.19985
15.00143,14.93160,-0.05056,-0.09102,0.19985
15.18176,15.18492,-0.05172,-0.09008,0.20065
15.33138,15.33088,-0.05287,-0.09055,0.20160
15.49835,15.47722,-0.05441,-0.09042,0.20233
15.66437,15.66417,-0.05574,-0.08788,0.20395
15.82751,15.82410,-0.05405,-0.08428,0.20582
15.99514,16.01055,-0.05273,-0.08389,0.20650
16.15972,16.14366,-0.05363,-0.08480,0.20776
16.32374,16.33029,-0.05539,-0.08607,0.20886
16.49649,16.49044,-0.05524,-0.08706,0.21027
16.69374,16.67682,-0.05562,-0.08855,0.21193
16.81843,16.87349,-0.05574,-0.08858,0.21200
16.98456,17.01073,-0.05650,-0.08897,0.21226
17.15280,17.19595,-0.05804,-0.09004,0.21199
17.33437,17.33031,-0.06036,-0.09045,0.21185
17.48399,17.48815,-0.06067,-0.09144,0.21313
17.68656,17.66281,-0.05359,-0.09240,0.20838
17.81406,17.81032,-0.05390,-0.09140,0.20204
17.97692,17.98250,-0.05358,-0.09188,0.19366
18.15321,18.12936,-0.05460,-0.09242,0.19098
18.32157,18.31559,-0.05477,-0.09254,0.18970
18.47675,18.47568,-0.05578,-0.09155,0.18884
18.64482,18.63556,-0.05725,-0.09069,0.18944
18.80526,18.77049,-0.05761,-0.09054,0.19007
18.97010,18.95643,-0.05888,-0.08847,0.19121
19.14021,19.08835,-0.05923,-0.08802,0.19267
19.33107,19.32852,-0.06001,-0.08733,0.18903
19.51153,19.51517,-0.06109,-0.08591,0.19060
19.63214,19.64846,-0.06103,-0.08515,0.19071
19.82545,19.80842,-0.06202,-0.08706,0.18848
19.96657,19.96795,-0.06326,-0.08942,0.18977
20.13408,20.12798,-0.06328,-0.09094,0.18987
20.31873,20.31442,-0.06433,-0.09077,0.19126
20.50748,20.51446,-0.06497,-0.09079,0.19304
20.62763,20.62120,-0.06504,-0.08990,0.19301
20.81074,20.79450,-0.06545,-0.08847,0.19335
20.95813,20.96860,-0.06545,-0.08842,0.19344
21.12998,21.14070,-0.06309,-0.08701,0.19575
21.29198,21.28707,-0.06363,-0.08699,0.19633
21.45349,21.44731,-0.06099,-0.08691,0.19153
21.62151,21.63358,-0.05927,-0.08575,0.18883
21.78967,21.78092,-0.05775,-0.08657,0.18823
21.95036,21.94002,-0.05954,-0.08706,0.18811
22.16220,22.15349,-0.05985,-0.08813,0.18986
22.28216,22.28909,-0.05966,-0.08787,0.19116
22.50264,22.47343,-0.06053,-0.08859,0.19209
22.61244,22.62047,-0.06121,-0.08861,0.19245
22.78018,22.80621,-0.06119,-0.08830,0.19368
22.99267,22.99298,-0.05982,-0.09013,0.19568
23.11243,23.12634,-0.05941,-0.09075,0.19613
23.11243,23.27259,-0.06015,-0.09363,0.19796
23.26649,23.27259,-0.06015,-0.09363,0.19796
23.43135,23.41966,-0.06095,-0.09561,0.19891
23.59469,23.60583,-0.06244,-0.09736,0.20020
23.76177,23.75226,-0.06304,-0.09536,0.20091
23.93230,23.92603,-0.06434,-0.09493,0.20250
24.13479,24.11211,-0.06535,-0.09346,0.20482
24.25698,24.24538,-0.06559,-0.09326,0.20610
24.46736,24.47197,-0.06588,-0.09391,0.20819
24.58799,24.57863,-0.06601,-0.09447,0.20882
24.75725,24.71253,-0.06466,-0.09564,0.20912
24.92458,24.92529,-0.06266,-0.09758,0.20590
25.10316,25.09822,-0.05930,-0.09804,0.20358
25.24998,25.25856,-0.05731,-0.09834,0.20203
25.41549,25.41838,-0.05620,-0.09948,0.19108
25.58152,25.57786,-0.05420,-0.10032,0.17782
25.74992,25.75141,-0.05184,-0.09944,0.16980
25.95003,25.93824,-0.04906,-0.10083,0.16877
26.07886,26.07100,-0.04758,-0.10071,0.16954
26.24318,26.24470,-0.04752,-0.10069,0.17173
26.40946,26.40455,-0.04904,-0.10109,0.17357
26.57983,26.59083,-0.05054,-0.10199,0.17422
26.75590,26.75228,-0.05073,-0.10217,0.17538
26.91331,26.91332,-0.05163,-0.10218,0.17654
27.08210,27.08804,-0.05309,-0.10039,0.17748
27.25961,27.26253,-0.05413,-0.09901,0.17692
27.41336,27.42374,-0.05421,-0.09644,0.17847
27.58162,27.58482,-0.05327,-0.09377,0.18057
27.75474,27.78662,-0.05323,-0.09357,0.18096
27.93839,27.81349,-0.05373,-0.09450,0.18122
28.12790,28.25064,-0.05379,-0.09463,0.18127
28.27960,28.25617,-0.05399,-0.09448,0.18522
28.41759,28.41888,-0.05105,-0.09431,0.18653
28.61547,28.61896,-0.05080,-0.09206,0.18763
28.75520,28.72604,-0.04922,-0.09101,0.18896
28.92316,28.94084,-0.05054,-0.09037,0.19028
29.08965,29.08875,-0.05176,-0.09039,0.19187
29.25888,29.26313,-0.05155,-0.09125,0.19327
29.42521,29.42394,-0.05121,-0.09261,0.19458
29.59523,29.58540,-0.05076,-0.09388,0.19568
29.76140,29.71953,-0.05041,-0.09335,0.19615
29.97236,30.00331,-0.05029,-0.09323,0.19609
30.09627,30.09529,-0.04909,-0.09101,0.19747
30.26603,30.28300,-0.05033,-0.09122,0.19784
30.43107,30.43029,-0.05231,-0.09138,0.19910
30.60103,30.60477,-0.05307,-0.09108,0.20020
30.76857,30.76559,-0.05358,-0.09102,0.20033
30.96425,31.00760,-0.05444,-0.09015,0.19494
31.10345,31.10113,-0.05456,-0.09138,0.18937
31.27061,31.29121,-0.05274,-0.09187,0.18524
31.43731,31.43615,-0.04956,-0.09335,0.18535
31.62295,31.62383,-0.04880,-0.09346,0.18544
31.77586,31.75827,-0.04895,-0.09415,0.18587
31.96806,31.95927,-0.04968,-0.09390,0.18840
32.11011,32.12006,-0.05013,-0.09380,0.18993
32.27739,32.29457,-0.05106,-0.09420,0.19113
32.44341,32.42829,-0.05300,-0.09483,0.19095
32.61492,32.61613,-0.05351,-0.09465,0.19206
32.77920,32.77688,-0.05344,-0.09616,0.19336
32.94943,32.96426,-0.05294,-0.09670,0.19443
33.11495,33.11175,-0.05271,-0.09573,0.19569
33.28287,33.29956,-0.05240,-0.09414,0.19734
33.44991,33.44671,-0.05071,-0.09213,0.19808
33.61682,33.59446,-0.05054,-0.09194,0.19868
33.78665,33.66102,-0.05069,-0.09207,0.19875
33.95397,34.12361,-0.05076,-0.09209,0.19877
34.14014,34.12411,-0.05127,-0.09270,0.19910
34.28920,34.29097,-0.05129,-0.09312,0.20309
34.45567,34.46517,-0.05119,-0.09197,0.20456
34.62565,34.62637,-0.04814,-0.09080,0.20938
34.79083,34.76046,-0.04712,-0.09087,0.21027
34.98065,35.04986,-0.04724,-0.09157,0.21097
35.14263,35.14889,-0.04816,-0.09274,0.21288
35.29228,35.29596,-0.04656,-0.09390,0.21496
35.45881,35.48376,-0.04294,-0.09421,0.21629
35.64426,35.65741,-0.03958,-0.09612,0.21141
35.79635,35.77767,-0.04029,-0.09799,0.19278
35.98296,35.97943,-0.04137,-0.09812,0.17389
36.14727,36.13930,-0.04164,-0.09986,0.16996
36.29610,36.28657,-0.04103,-0.10044,0.16965
36.46378,36.47430,-0.04138,-0.10119,0.17109
36.64597,36.66114,-0.04150,-0.10231,0.17493
36.80277,36.80859,-0.04086,-0.10155,0.17663
36.97806,36.98289,-0.04164,-0.10062,0.17846
37.15288,37.19754,-0.04219,-0.10180,0.17921
37.30524,37.31832,-0.04107,-0.10369,0.18070
37.49070,37.47833,-0.04071,-0.10461,0.18270
37.63743,37.63873,-0.04148,-0.10246,0.18376
37.80253,37.79920,-0.04243,-0.10177,0.18499
37.97891,37.95984,-0.04318,-0.10175,0.18700
38.13813,38.13381,-0.04499,-0.10116,0.18916
38.32367,38.32120,-0.04382,-0.10411,0.19010
38.47170,38.48163,-0.04255,-0.10560,0.19036
38.63950,38.65121,-0.04200,-0.10584,0.19058
38.81628,38.82985,-0.04030,-0.10341,0.19285
38.97446,38.95021,-0.03808,-0.10359,0.19473
39.14370,39.13758,-0.03705,-0.10403,0.19566
39.14370,39.52550,-0.03769,-0.10090,0.19837
39.28973,39.52550,-0.03769,-0.10090,0.19837
39.48282,39.52550,-0.03769,-0.10090,0.19837
39.55122,39.56561,-0.03860,-0.10026,0.19820
39.74267,39.72577,-0.03992,-0.09986,0.19851
39.96405,39.96654,-0.04014,-0.09978,0.19521
40.12504,40.12695,-0.04221,-0.10034,0.18889
40.29295,40.30082,-0.04470,-0.10127,0.18200
40.47127,40.47492,-0.04615,-0.10024,0.17486
40.63139,40.60896,-0.04491,-0.09947,0.17471
40.82140,40.83630,-0.04289,-0.09919,0.17524
40.96260,40.98315,-0.04326,-0.10019,0.17591
41.13104,41.13033,-0.04440,-0.09867,0.17804
41.20444,41.21069,-0.04443,-0.09839,0.17847
41.38345,41.41117,-0.04470,-0.09608,0.18087
41.54374,41.53157,-0.04383,-0.09651,0.18278
41.70566,41.70533,-0.04347,-0.09754,0.18424
41.87461,41.90603,-0.04019,-0.09986,0.18722
42.03714,42.03979,-0.03929,-0.10056,0.18843
42.20147,42.21346,-0.03991,-0.10055,0.18949
42.38260,42.37421,-0.04298,-0.09969,0.19181
42.53499,42.53446,-0.04091,-0.09914,0.19388
42.71217,42.70832,-0.03906,-0.09976,0.19560
42.86589,42.81524,-0.03933,-0.10061,0.19613
43.08762,43.09590,-0.03965,-0.10206,0.19646
43.19906,43.20288,-0.03860,-0.10155,0.19805
43.36716,43.36354,-0.03801,-0.10142,0.19898
43.56997,43.57709,-0.03931,-0.10228,0.19999
43.69759,43.71064,-0.04043,-0.10192,0.20097
43.89525,43.88451,-0.04155,-0.10301,0.19390
44.03128,44.03168,-0.04281,-0.10231,0.18634
44.20828,44.19264,-0.04442,-0.10183,0.17232
44.36190,44.35276,-0.04561,-0.10187,0.16857
44.53017,44.52642,-0.04495,-0.10125,0.16862
44.69515,44.70019,-0.04697,-0.10126,0.16921
44.86328,44.87368,-0.04853,-0.10248,0.17037
45.02990,45.06835,-0.04898,-0.10320,0.17192
45.19140,45.19468,-0.04595,-0.10360,0.17633
45.39641,45.40874,-0.04488,-0.10700,0.17738
45.52707,45.51525,-0.04562,-0.10842,0.17792
45.71217,45.70255,-0.04527,-0.10948,0.17882
45.86499,45.87638,-0.04626,-0.10869,0.17948
46.06850,46.05065,-0.04562,-0.10647,0.17925
46.23164,46.23720,-0.04520,-0.10475,0.17941
46.35260,46.34419,-0.04450,-0.10479,0.18071
46.55837,46.57114,-0.04628,-0.10460,0.18141
46.68515,46.65369,-0.04652,-0.10558,0.18176
46.91296,46.90597,-0.04603,-0.10594,0.18313
47.01847,47.01268,-0.04643,-0.10483,0.18410
47.18697,47.18665,-0.04940,-0.10510,0.18387
47.34917,47.41309,-0.05207,-0.10499,0.18327
47.51534,47.48059,-0.05382,-0.10527,0.18464
47.68258,47.68096,-0.05073,-0.10499,0.18675
47.85265,47.84095,-0.05071,-0.10558,0.18820
48.02353,48.01403,-0.05213,-0.10644,0.18943
48.20669,48.18795,-0.05381,-0.10674,0.19120
48.34401,48.36157,-0.05435,-0.10596,0.19144
48.51094,48.50858,-0.05592,-0.10702,0.19192
48.68873,48.68259,-0.05597,-0.10772,0.19300
48.84769,48.84347,-0.05560,-0.10894,0.19410
49.06151,49.04267,-0.05498,-0.10871,0.19619
49.17444,49.17628,-0.05242,-0.10966,0.19576
49.37999,49.35074,-0.04926,-0.10943,0.18964
49.50626,49.49762,-0.04763,-0.10781,0.18279
49.72048,49.71076,-0.04728,-0.10478,0.17523
49.83945,49.77784,-0.04746,-0.10409,0.17140
50.04117,50.06722,-0.04794,-0.10415,0.16888
50.17003,50.21530,-0.04813,-0.10512,0.16790
50.37897,50.36763,-0.04756,-0.10562,0.16865
50.50686,50.53916,-0.04748,-0.10566,0.16872
50.67406,50.67248,-0.04457,-0.10620,0.17156
50.84176,50.84118,-0.04449,-0.10704,0.17270
51.03697,51.02012,-0.04326,-0.10709,0.17510
51.16541,51.14924,-0.04366,-0.10701,0.17509
51.33527,51.31421,-0.04636,-0.10788,0.17618
51.50353,51.47458,-0.04823,-0.10848,0.17740
51.68325,51.76649,-0.04842,-0.10817,0.17800
51.88477,51.90680,-0.04752,-0.10647,0.18000
51.99641,51.94126,-0.04737,-0.10525,0.18106
52.16287,52.21559,-0.04776,-0.10522,0.18184
52.32847,52.34202,-0.04784,-0.10405,0.18463
52.49329,52.47551,-0.04764,-0.10466,0.18662
52.66654,52.65011,-0.04864,-0.10608,0.18768
52.84114,52.75599,-0.04814,-0.10683,0.18800
52.99419,53.17684,-0.04824,-0.10690,0.18806
53.19734,53.17810,-0.04611,-0.10381,0.19181
53.32646,53.25086,-0.04527,-0.10283,0.19247
53.52543,53.79192,-0.04520,-0.10277,0.19252
53.69773,53.79192,-0.04520,-0.10277,0.19252
53.85429,53.79197,-0.04489,-0.10260,0.19267
54.00955,53.99710,-0.04414,-0.10252,0.19284
54.16095,54.16498,-0.03974,-0.10595,0.19748
54.33187,54.33585,-0.03997,-0.10619,0.19598
54.49834,54.49548,-0.04108,-0.10681,0.19180
54.66245,54.66398,-0.04135,-0.10768,0.18759
54.86623,54.86992,-0.04210,-0.10694,0.18715
