Time(ROS) Frame LO(m) AO(deg)
1570712485.370384932 0001 0.00000 49.10760
1570712485.494722843 0002 0.00000 49.08926
1570712485.661352873 0003 0.00000 49.02452
1570712485.830594301 0004 0.00000 48.97009
1570712485.995596886 0005 0.00000 48.97009
1570712486.181221008 0006 0.00000 48.97009
1570712486.321728945 0007 0.00000 48.96894
1570712486.487349033 0008 0.00000 48.96894
1570712486.652581215 0009 0.00000 48.96894
1570712486.821501493 0010 0.00000 48.96894
1570712487.198814154 0011 0.00000 48.96894
1570712487.151507378 0012 0.00000 48.96894
1570712487.343896151 0013 0.00000 48.96436
1570712487.480508566 0014 0.00000 48.96436
1570712487.654125452 0015 0.00000 48.96436
1570712487.862282276 0016 0.00000 48.96436
1570712487.978158474 0017 0.00000 48.96436
1570712488.147798538 0018 0.00000 48.96436
1570712488.328530073 0019 0.00000 48.96436
1570712488.474770308 0020 0.00000 48.95863
1570712488.650139332 0021 0.00000 48.95977
1570712488.807727575 0022 0.00000 48.95691
1570712488.973902464 0023 0.00000 48.95691
1570712489.158872604 0024 0.00000 48.95576
1570712489.301283121 0025 0.00000 48.95576
1570712489.468602657 0026 0.00000 48.95576
1570712489.642872095 0027 0.00000 48.95576
1570712489.812781572 0028 0.00000 48.95576
1570712490.197596312 0029 0.00000 48.95576
1570712490.130641222 0030 0.00000 48.95462
1570712490.294555664 0031 0.00000 48.95462
1570712490.464303493 0032 0.00000 48.95347
1570712490.625405073 0033 0.00000 48.95347
1570712490.813265324 0034 0.00000 48.95347
1570712490.958306074 0035 0.00000 48.95347
1570712491.149598122 0036 0.00000 48.95347
1570712491.288216352 0037 0.00000 48.95347
1570712491.453108311 0038 0.00000 48.95347
1570712491.627815962 0039 0.00000 48.95347
1570712491.822337627 0040 0.00000 48.95347
1570712491.952148199 0041 0.00000 48.95347
1570712492.117614031 0042 0.00000 48.95347
1570712492.285844564 0043 0.00000 48.95347
1570712492.451291561 0044 0.00000 48.95347
1570712492.624307632 0045 0.00000 48.95347
1570712492.823428869 0046 0.00000 48.95347
1570712492.945803404 0047 0.00000 48.95347
1570712493.111945868 0048 0.00000 48.95347
1570712493.281887531 0049 0.00000 48.95347
1570712493.444163799 0050 0.00000 48.95347
1570712493.622071743 0051 0.00000 48.95347
1570712493.820580482 0052 0.00000 48.95347
1570712493.945424080 0053 0.00000 48.95347
1570712494.110748529 0054 0.00000 48.94946
1570712494.278314590 0055 0.00000 48.94946
1570712494.444039583 0056 0.00000 48.94946
1570712494.612985134 0057 0.00000 48.94946
1570712494.784887552 0058 0.00000 48.94946
1570712494.956845522 0059 0.00000 48.94946
1570712495.111167192 0060 0.00000 48.94946
1570712495.278408051 0061 0.00000 48.94946
1570712495.444521666 0062 0.00000 48.94946
1570712495.614002228 0063 0.00000 48.94946
1570712495.779785872 0064 0.00000 48.94946
1570712495.948446989 0065 0.00000 48.94831
1570712496.112747908 0066 0.00000 48.93227
1570712496.279274940 0067 0.00000 48.92139
1570712496.453638315 0068 0.00000 48.90706
1570712496.615284681 0069 0.00000 48.89045
1570712496.781266451 0070 0.00000 48.87498
1570712496.947227478 0071 0.00000 48.86695
1570712497.113965511 0072 0.00000 48.85206
1570712497.278536081 0073 0.00000 48.84232
1570712497.464386940 0074 0.00000 48.81883
1570712497.610203266 0075 0.00000 48.80851
1570712497.791911602 0076 0.00000 48.79705
