Time(ROS) Frame LO(m) AO(deg)
1570711926.866371632 0001 0.00000 50.29550
1570711927.250404119 0002 0.00000 50.30008
1570711927.188085556 0003 0.00000 50.29722
1570711927.351567030 0004 0.00000 50.29836
1570711927.519860506 0005 0.00000 50.29722
1570711927.715847731 0006 0.00000 50.29722
1570711927.849792719 0007 0.00000 50.29664
1570711928.245006084 0008 0.00000 50.30065
1570711928.217017651 0009 0.00000 50.30065
1570711928.348338127 0010 0.00000 50.30065
1570711928.519964218 0011 0.00000 50.30065
1570711928.677239418 0012 0.00000 50.30065
1570711928.850671768 0013 0.00000 50.30065
1570711929.109191895 0014 0.00000 50.30065
1570711929.182101727 0015 0.00000 50.30065
1570711929.382112026 0016 0.00000 50.30065
1570711929.502933264 0017 0.00000 50.30065
1570711929.675149679 0018 0.00000 50.30065
1570711929.835801840 0019 0.00000 50.30065
1570711929.999936819 0020 0.00000 50.30065
1570711930.197653055 0021 0.00000 50.30065
1570711930.339601994 0022 0.00000 50.30065
1570711930.533320189 0023 0.00000 50.30065
1570711930.670177221 0024 0.00000 50.30065
1570711930.860089302 0025 0.00000 50.29894
1570711930.994768620 0026 0.00000 50.29894
1570711931.183089733 0027 0.00000 50.29894
1570711931.349990368 0028 0.00000 50.29894
1570711931.494831324 0029 0.00000 50.29894
1570711931.695375443 0030 0.00000 50.29894
1570711931.821412802 0031 0.00000 50.29894
1570711932.229938269 0032 0.00000 50.29894
1570711932.152129889 0033 0.00000 50.29894
1570711932.350264549 0034 0.00000 50.29894
1570711932.483921289 0035 0.00000 50.29894
1570711932.652007341 0036 0.00000 50.29894
1570711932.828876734 0037 0.00000 50.29894
1570711933.174665689 0038 0.00000 50.29894
1570711933.146605253 0039 0.00000 50.29894
1570711933.313939810 0040 0.00000 50.29894
1570711933.500071526 0041 0.00000 50.29894
1570711933.643265963 0042 0.00000 50.29894
1570711933.839388609 0043 0.00000 50.29894
1570711934.360778093 0044 0.00000 50.29894
1570711934.142543793 0045 0.00000 50.29894
1570711934.304547310 0046 0.00000 50.29894
1570711934.483031988 0047 0.00000 50.29894
1570711934.640665054 0048 0.00000 50.29722
1570711934.807380438 0049 0.00000 50.29206
1570711934.980624914 0050 0.00000 50.29321
1570711935.145050287 0051 0.00000 50.29206
1570711935.301926374 0052 0.00000 50.28977
1570711935.472582102 0053 0.00000 50.29149
1570711935.628515482 0054 0.00000 50.28920
1570711935.806151867 0055 0.00000 50.28576
1570711935.992352009 0056 0.00000 50.28862
1570711936.129053593 0057 0.00000 50.28977
1570711936.319662094 0058 0.00000 50.27946
1570711936.497445822 0059 0.00000 50.28347
1570711936.647577524 0060 0.00000 50.31154
1570711936.821078300 0061 0.00000 50.43988
1570711936.974379539 0062 0.00000 50.42327
1570711937.123790503 0063 0.00000 50.44962
1570711937.288270712 0064 0.00000 50.49374
1570711937.494206190 0065 0.00000 50.60776
1570711937.618958950 0066 0.00000 50.62896
1570711937.827793121 0067 0.00000 50.66563
1570711937.952168941 0068 0.00000 50.70173
1570711938.124785900 0069 0.00000 50.70344
1570711938.285975933 0070 0.00000 50.78079
1570711938.489492178 0071 0.05500 0.69390
1570711938.619646788 0072 0.05499 0.69676
1570711938.822472095 0073 0.05762 0.76552
1570711938.954693794 0074 0.05838 0.79417
1570711939.118682623 0075 0.06022 0.81136
1570711939.288236380 0076 0.06205 0.82969
1570711939.455582380 0077 0.05871 0.77984
1570711939.629384518 0078 0.05804 0.79818
1570711939.814068556 0079 0.05462 1.17576
1570711939.956311703 0080 0.05163 1.68626
1570711940.121925831 0081 0.04505 2.71759
1570711940.316888094 0082 0.03826 3.32779
1570711940.466975451 0083 0.02407 3.47332
1570711940.643980980 0084 0.02585 3.53176
1570711940.785891056 0085 0.02709 3.53577
1570711940.952868223 0086 0.02629 3.63203
1570711941.130673647 0087 0.02547 3.69964
1570711941.287294388 0088 0.02388 3.75292
1570711941.477079391 0089 0.02090 3.85434
1570711941.619720936 0090 0.03005 3.61694
1570711941.785964489 0091 0.02894 3.66621
1570711941.954520941 0092 0.03022 3.34593
1570711942.118190050 0093 0.03330 2.91335
1570711942.284451485 0094 0.03399 2.83543
1570711942.452105045 0095 0.03477 2.85147
1570711942.620390654 0096 0.04181 2.76954
1570711942.785479546 0097 0.04129 2.83657
1570711942.951155663 0098 0.03961 2.82970
1570711943.117986679 0099 0.03793 2.84402
1570711943.300527573 0100 0.03700 2.86064
1570711943.453341007 0101 0.03924 2.57015
1570711943.619253159 0102 0.03931 2.46300
1570711943.785982132 0103 0.04026 2.48306
1570711943.951472282 0104 0.03949 2.48076
1570711944.120793343 0105 0.04033 2.30429
1570711944.285610437 0106 0.04058 2.32721
1570711944.456243992 0107 0.04034 2.37878
1570711944.625178576 0108 0.04023 2.38623
1570711944.798087120 0109 0.03279 2.59650
1570711944.952074528 0110 0.03254 2.68416
1570711945.120813370 0111 0.03222 2.74490
