Time(ROS) Frame LO(m) AO(deg)
1570715073.495727539 0001 0.00000 49.26186
1570715073.173654556 0002 0.00000 49.25556
1570715073.345861197 0003 0.00000 49.25498
1570715073.545418262 0004 0.00000 49.25154
1570715073.670370340 0005 0.00000 49.25154
1570715073.839466572 0006 0.00000 49.25154
1570715074.434850931 0007 0.00000 49.24925
1570715074.169914007 0008 0.00000 49.24925
1570715074.334038019 0009 0.00000 49.19310
1570715074.500040054 0010 0.00000 49.18966
1570715074.666240931 0011 0.00000 49.18966
1570715074.834866047 0012 0.00000 49.18966
1570715075.241674900 0013 0.00000 49.18966
1570715075.179762363 0014 0.00000 49.18966
1570715075.332675457 0015 0.00000 49.18966
1570715075.499064684 0016 0.00000 49.18966
1570715075.669254780 0017 0.00000 49.18966
1570715075.833023548 0018 0.00000 49.18966
1570715075.999191523 0019 0.00000 49.18107
1570715076.199623346 0020 0.00000 49.18107
1570715076.332220793 0021 0.00000 49.18107
1570715076.500094175 0022 0.00000 49.18394
1570715076.665801048 0023 0.00000 49.18623
1570715076.835443020 0024 0.00000 49.18623
1570715077.167733669 0025 0.00000 49.18966
1570715077.170857668 0026 0.00000 49.19138
1570715077.333947659 0027 0.00000 49.20800
1570715077.501164675 0028 0.00000 49.22060
1570715077.668147802 0029 0.00000 49.20284
1570715077.834904194 0030 0.00000 49.17649
1570715078.341146946 0031 0.00000 49.17018
1570715078.204903126 0032 0.00000 49.17248
1570715078.334139109 0033 0.00000 49.17190
1570715078.500053883 0034 0.00000 49.16732
1570715078.667127848 0035 0.00000 49.16560
1570715078.842866659 0036 0.00000 49.17133
1570715079.430291176 0037 0.00000 49.18050
1570715079.189511776 0038 0.00000 49.19425
1570715079.332388878 0039 0.00000 49.21373
1570715079.500421047 0040 0.00000 49.22003
1570715079.665880680 0041 0.00000 49.22576
1570715079.835458517 0042 0.00000 49.23206
1570715079.999555588 0043 0.00000 49.23149
1570715080.167769194 0044 0.00000 49.23436
1570715080.349555731 0045 0.00000 49.23264
1570715080.500045300 0046 0.00000 49.23149
1570715080.666361570 0047 0.00000 49.23837
1570715080.833154202 0048 0.00000 49.24639
1570715080.998976707 0049 0.00000 49.25040
1570715081.184489489 0050 0.00000 49.25097
1570715081.332600594 0051 0.00000 49.25785
1570715081.502582312 0052 0.00000 49.26530
1570715081.666946173 0053 0.00000 49.26931
1570715081.834336042 0054 0.00000 49.27274
1570715081.999511003 0055 0.00000 49.27962
1570715082.166920185 0056 0.00000 49.27790
1570715082.348398685 0057 0.00000 49.28478
1570715082.499300003 0058 0.00000 49.28478
1570715082.665802956 0059 0.00000 49.28592
1570715082.839904070 0060 0.00000 49.29051
1570715083.888639927 0061 0.00000 49.17362
1570715083.168123484 0062 0.00000 49.19425
1570715083.333425522 0063 0.00000 49.15815
1570715083.500393152 0064 0.00000 49.23264
1570715083.666213274 0065 0.00000 49.27504
1570715083.835741758 0066 0.00000 49.32145
1570715084.652296066 0067 0.00000 49.41312
1570715084.168607473 0068 0.00000 49.39593
1570715084.345987082 0069 0.00000 49.45036
1570715084.518235922 0070 0.00000 49.45036
1570715084.667449474 0071 0.00000 49.45036
1570715084.833276749 0072 0.00000 49.45036
1570715085.105357647 0073 0.00000 49.45036
1570715085.181861162 0074 0.00000 49.45036
1570715085.346637964 0075 0.00000 49.45724
1570715085.500279427 0076 0.00000 49.45724
1570715085.685991287 0077 0.00000 49.45724
1570715085.835786343 0078 0.00000 49.45724
1570715086.438436031 0079 0.00000 49.45724
1570715086.166883230 0080 0.00000 49.45724
1570715086.255690813 0081 0.00000 49.46583
1570715086.445742846 0082 0.00000 49.47213
1570715086.592093706 0083 0.00000 49.49104
1570715086.806934595 0084 0.00000 49.50250
1570715086.917421103 0085 0.00000 49.50250
1570715087.119400501 0086 0.00000 49.50422
1570715087.251530409 0087 0.00000 49.50422
1570715087.414936543 0088 0.00000 49.50422
1570715087.580273390 0089 0.00000 49.52255
1570715087.767122746 0090 0.00000 49.52255
1570715087.910352707 0091 0.00000 49.52255
1570715088.781797409 0092 0.00000 49.52255
1570715088.266842842 0093 0.00000 49.52255
1570715088.407305241 0094 0.00000 49.52255
1570715088.616757631 0095 -0.11697 0.54339
1570715088.783089161 0096 -0.11683 0.55084
1570715088.902948141 0097 -0.10919 0.55084
1570715089.106183290 0098 -0.10919 0.55084
1570715089.235309362 0099 -0.10919 0.55084
1570715089.401496887 0100 -0.10919 0.55084
1570715089.573806286 0101 -0.10761 0.64137
1570715089.777241945 0102 -0.09742 0.70325
1570715089.898767471 0103 -0.09742 0.70325
1570715090.645032167 0104 -0.09742 0.70325
1570715090.241398096 0105 -0.08695 0.19403
1570715090.398804188 0106 -0.08695 0.19403
1570715090.603748322 0107 -0.08695 0.19403
1570715090.723926783 0108 -0.08695 0.19403
1570715090.890846729 0109 -0.08532 0.21408
1570715091.763939381 0110 -0.08488 0.23528
1570715091.220930576 0111 -0.08488 0.23528
1570715091.390855074 0112 -0.08488 0.23528
1570715091.600144625 0113 -0.08488 0.23528
1570715091.717640162 0114 -0.08488 0.23528
1570715091.886220694 0115 -0.08488 0.23528
1570715092.506814241 0116 -0.09086 0.23528
1570715092.217793703 0117 -0.09076 0.23929
1570715092.385304451 0118 -0.09076 0.23929
1570715092.545830965 0119 -0.09076 0.23929
1570715092.749435663 0120 -0.09076 0.23929
1570715092.879834175 0121 -0.09076 0.23929
1570715093.554136992 0122 -0.09076 0.23929
1570715093.240545750 0123 -0.07921 0.23929
1570715093.377710819 0124 -0.07921 0.23929
1570715093.554797888 0125 -0.07730 0.39113
1570715093.749551058 0126 -0.07730 0.39113
1570715093.871103287 0127 -0.07730 0.39113
1570715094.361973524 0128 -0.07730 0.39113
1570715094.209929228 0129 -0.09314 0.51991
1570715094.369658232 0130 -0.09314 0.51991
1570715094.571467400 0131 -0.09314 0.51991
1570715094.736063957 0132 -0.09301 0.52850
1570715094.866293430 0133 -0.09301 0.52850
1570715095.599605322 0134 -0.09301 0.52850
1570715095.199544191 0135 -0.09301 0.52850
1570715095.366234303 0136 -0.09301 0.52850
1570715095.545184612 0137 -0.09301 0.52850
1570715095.693179369 0138 -0.09301 0.52850
1570715095.857423306 0139 -0.09241 0.56231
1570715096.249226570 0140 -0.09118 0.64310
1570715096.199290514 0141 -0.09118 0.64310
1570715096.375398636 0142 -0.08990 0.64310
1570715096.539309740 0143 -0.08990 0.64310
1570715096.728280306 0144 -0.08990 0.64310
1570715096.851508141 0145 -0.08990 0.64310
1570715097.385815620 0146 -0.08990 0.64310
1570715097.182787895 0147 -0.08990 0.64310
1570715097.351284504 0148 -0.08990 0.64310
1570715097.517449856 0149 -0.08988 0.64653
1570715097.679682255 0150 -0.08988 0.64653
1570715097.847814083 0151 -0.05715 0.68917
1570715098.543457270 0152 -0.05715 0.68917
1570715098.175589800 0153 -0.05715 0.68917
1570715098.380811214 0154 -0.05715 0.68917
1570715098.545457125 0155 -0.05715 0.68917
1570715098.673834562 0156 -0.05715 0.68917
1570715098.840502739 0157 -0.05715 0.68917
1570715099.542086840 0158 -0.05664 0.73099
1570715099.169183493 0159 -0.05627 0.73844
1570715099.344192743 0160 -0.05705 1.07002
1570715099.506083250 0161 -0.05705 1.07002
1570715099.670891762 0162 -0.05705 1.07002
1570715099.838501215 0163 -0.05705 1.07002
1570715100.305929899 0164 -0.05705 1.07002
1570715100.183152437 0165 -0.05705 1.07002
1570715100.335271835 0166 -0.05705 1.07002
1570715100.500366449 0167 -0.05705 1.07002
1570715100.666619062 0168 -0.05704 1.07174
1570715100.833170652 0169 -0.05417 1.07174
1570715101.386216879 0170 -0.05417 1.07174
1570715101.206239700 0171 -0.05417 1.07174
1570715101.333393335 0172 -0.05417 1.07174
1570715101.501014948 0173 -0.05417 1.07174
1570715101.667884588 0174 -0.05417 1.07174
1570715101.834907532 0175 -0.05417 1.07174
1570715102.237314463 0176 -0.05367 1.11357
1570715102.167618036 0177 -0.05360 1.16055
1570715102.336227179 0178 -0.05360 1.16055
1570715102.502025843 0179 -0.05360 1.16055
1570715102.670092344 0180 -0.05360 1.16055
1570715102.834730148 0181 -0.05360 1.16055
1570715103.295974731 0182 -0.05360 1.16055
1570715103.180611134 0183 -0.05360 1.16055
1570715103.355770588 0184 -0.05360 1.16055
1570715103.500656843 0185 -0.05360 1.16055
1570715103.666831493 0186 -0.05360 1.16055
1570715103.833556414 0187 -0.05360 1.16055
1570715103.999964714 0188 -0.05360 1.16055
1570715104.170379639 0189 -0.05360 1.16055
1570715104.333760738 0190 -0.05360 1.16055
1570715104.500200033 0191 -0.05360 1.16055
1570715104.666646719 0192 -0.05376 1.55250
1570715104.833367348 0193 -0.05376 1.55250
1570715105.517390013 0194 -0.05376 1.55250
1570715105.167133093 0195 -0.05376 1.55250
1570715105.333754301 0196 -0.05324 1.57255
1570715105.512174129 0197 -0.04385 1.65277
1570715105.684174776 0198 -0.04385 1.65277
1570715105.836292028 0199 -0.04385 1.65277
1570715106.453056097 0200 -0.04385 1.65277
1570715106.181716204 0201 -0.04385 1.65277
1570715106.352179289 0202 -0.04385 1.65277
1570715106.514798403 0203 -0.04385 1.65277
1570715106.667662621 0204 -0.04385 1.65277
1570715106.845976830 0205 -0.04385 1.65277
1570715107.770994902 0206 -0.04365 1.65506
1570715107.172831535 0207 -0.05412 1.64431
1570715107.353333950 0208 -0.05412 1.64431
1570715107.501202583 0209 -0.05412 1.64431
1570715107.667153835 0210 -0.05412 1.64431
1570715107.833661556 0211 -0.05412 1.64431
1570715108.359113693 0212 -0.05412 1.64431
1570715108.183302164 0213 -0.05412 1.64431
1570715108.350014448 0214 -0.05412 1.64431
1570715108.500378132 0215 -0.05337 1.65176
1570715108.667019367 0216 -0.05242 1.67926
1570715108.833467007 0217 -0.05987 1.56708
1570715109.346616983 0218 -0.05987 1.56708
1570715109.167125940 0219 -0.05987 1.56708
1570715109.334311008 0220 -0.05987 1.56708
1570715109.500424623 0221 -0.05987 1.56708
1570715109.667753220 0222 -0.05987 1.56708
1570715109.835658789 0223 -0.05987 1.56708
1570715110.256604910 0224 -0.05987 1.56708
1570715110.169222355 0225 -0.05987 1.56708
1570715110.334221363 0226 -0.08201 1.54144
1570715110.501422405 0227 -0.08201 1.54144
1570715110.667859077 0228 -0.08201 1.54144
1570715110.837790251 0229 -0.08201 1.54144
1570715111.132854939 0230 -0.08201 1.54144
1570715111.185994864 0231 -0.08201 1.54144
1570715111.335347891 0232 -0.08201 1.54144
1570715111.519308329 0233 -0.09598 1.54144
1570715111.615118027 0234 -0.09598 1.54144
1570715111.760202408 0235 -0.09554 1.58957
1570715111.958480358 0236 -0.09521 1.61336
1570715112.851361752 0237 -0.09521 1.61336
1570715112.249608994 0238 -0.09521 1.61336
1570715112.433191299 0239 -0.09521 1.61336
1570715112.587665081 0240 -0.09521 1.61336
1570715112.760407448 0241 -0.08445 1.08714
1570715112.913191080 0242 -0.08445 1.08714
1570715113.782220364 0243 -0.08445 1.08714
1570715113.243510485 0244 -0.08445 1.08714
1570715113.409993410 0245 -0.07251 0.71985
1570715113.583122492 0246 -0.07251 0.71985
1570715113.784970284 0247 -0.07251 0.71985
1570715113.934902191 0248 -0.06717 0.71985
1570715114.721126080 0249 -0.06724 0.71928
1570715114.253794909 0250 -0.06724 0.71928
1570715114.403192759 0251 -0.06724 0.71928
1570715114.597859383 0252 -0.05394 0.22322
1570715114.733756781 0253 -0.05394 0.22322
1570715114.902094603 0254 -0.05501 0.26447
1570715115.711364746 0255 -0.05496 0.27421
1570715115.232568026 0256 -0.05496 0.27421
1570715115.400231838 0257 -0.05496 0.27421
1570715115.583919525 0258 -0.05507 0.27192
1570715115.731013775 0259 -0.05507 0.27192
1570715115.894446611 0260 -0.05507 0.27192
1570715116.604139805 0261 -0.05507 0.27192
1570715116.224582911 0262 -0.05527 0.26390
1570715116.395599127 0263 -0.05527 0.26390
1570715116.568914652 0264 -0.05527 0.26390
1570715116.720774174 0265 -0.05527 0.26390
1570715116.888319254 0266 -0.05527 0.26390
1570715117.679669380 0267 -0.05527 0.26390
1570715117.224519968 0268 -0.05527 0.26390
1570715117.383803844 0269 -0.05527 0.26390
1570715117.553661823 0270 -0.05527 0.26390
1570715117.714693069 0271 -0.05527 0.26390
1570715117.881156445 0272 -0.05527 0.26390
1570715118.460488796 0273 -0.05527 0.26390
1570715118.210642815 0274 -0.05527 0.26390
1570715118.425703526 0275 -0.05527 0.26390
1570715118.543119192 0276 -0.05527 0.26390
1570715118.737627506 0277 -0.05527 0.26390
1570715118.909549475 0278 -0.05527 0.26390
1570715119.391850233 0279 -0.05527 0.26390
1570715119.210185289 0280 -0.05527 0.26390
1570715119.412774801 0281 -0.05527 0.26390
1570715119.555279732 0282 -0.05527 0.26390
1570715119.701980114 0283 -0.05527 0.26390
1570715119.868628740 0284 -0.05527 0.26390
1570715120.509944439 0285 -0.05527 0.26390
1570715120.200140715 0286 -0.05527 0.26390
1570715120.365332127 0287 -0.05527 0.26390
1570715120.570780516 0288 -0.05527 0.26390
1570715120.695292473 0289 -0.05527 0.26390
1570715120.867287874 0290 -0.07180 1.74475
1570715121.281638622 0291 -0.06968 1.77053
1570715121.196360588 0292 -0.06968 1.77053
1570715121.358937740 0293 -0.06968 1.77053
1570715121.561383486 0294 -0.06968 1.77053
1570715121.690523863 0295 -0.06968 1.77053
1570715121.897255898 0296 -0.06947 1.77626
1570715122.236071110 0297 -0.06947 1.77626
1570715122.228216171 0298 -0.06947 1.77626
1570715122.350556612 0299 -0.06947 1.77626
1570715122.522315264 0300 -0.06947 1.77626
1570715122.685414076 0301 -0.06947 1.77626
1570715122.848886013 0302 -0.06794 1.83528
1570715123.152057886 0303 -0.06718 1.86966
1570715123.182049036 0304 -0.06658 1.90518
1570715123.354065418 0305 -0.06729 -0.21311
1570715123.509660244 0306 -0.06729 -0.21311
1570715123.716915607 0307 -0.06729 -0.21311
1570715123.844021797 0308 -0.06729 -0.21311
1570715124.145797491 0309 -0.06729 -0.21311
1570715124.174304962 0310 -0.06729 -0.21311
1570715124.389222860 0311 -0.06729 -0.21311
1570715124.551206589 0312 -0.06729 -0.21311
1570715124.672452927 0313 -0.06729 -0.21311
1570715124.843565226 0314 -0.06729 -0.21311
1570715125.791833401 0315 -0.06719 -0.20624
1570715125.168377876 0316 -0.06719 -0.20624
1570715125.377662420 0317 -0.05656 -0.20624
1570715125.500783205 0318 -0.05656 -0.20624
1570715125.668037653 0319 -0.05656 -0.20624
1570715125.836927414 0320 -0.05656 -0.20624
1570715126.166181087 0321 -0.05656 -0.20624
1570715126.208045006 0322 -0.05656 -0.20624
1570715126.334716320 0323 -0.05656 -0.20624
1570715126.531735897 0324 -0.05326 0.56601
1570715126.690626144 0325 -0.05326 0.56601
1570715126.834573984 0326 -0.05285 0.59122
1570715127.826202393 0327 -0.05235 0.57805
