Time(Sec), LO(m), AO(deg)
605.0000000000,0.0866382197,-14.0622340758
606.0000000000,0.0420529091,-19.7556754157
607.0000000000,-0.0167567764,-23.3707440531
608.0000000000,-0.0579358945,-22.4996839964
609.0000000000,-0.1044448848,-24.2727318748
610.0000000000,-0.1413024264,-22.6684141353
611.0000000000,-0.1874207957,-25.6404897971
612.0000000000,-0.2224742973,-23.6245923396
613.0000000000,-0.2375269485,-16.6186581321
614.0000000000,-0.1969393578,-2.1413558019
615.0000000000,-0.1506271995,0.1297039134
616.0000000000,-0.0965466138,1.8124195393
617.0000000000,-0.0554551798,1.4411224805
618.0000000000,-0.0335597157,-1.8144553786
619.0000000000,-0.0070836284,-4.9611047648
620.0000000000,0.0463569638,-0.3494773589
621.0000000000,0.0931403415,0.5955276397
622.0000000000,0.1408952292,0.5192653874
623.0000000000,0.1503363232,-10.8560439670
624.0000000000,0.1333935460,-15.7383907590
625.0000000000,0.1038206381,-18.1027917524
626.0000000000,0.0748208866,-18.1227070345
627.0000000000,0.0245949803,-23.2292972117
628.0000000000,-0.0725199594,-31.0375489116
629.0000000000,-0.1392838318,-27.6586661678
630.0000000000,-0.1798772719,-22.6853000659
631.0000000000,-0.2270300580,-27.6085992709
632.0000000000,-0.2843259358,-27.9942188673
633.0000000000,-0.3247896662,-23.5074250075
634.0000000000,-0.3732951522,-24.7443085421
635.0000000000,-0.3594997628,-8.5497071302
636.0000000000,-0.3321024243,-5.0797599294
637.0000000000,-0.2665706053,2.8886881713
638.0000000000,-0.2158604388,9.1225186904
639.0000000000,-0.1775995037,-3.8790218190
640.0000000000,-0.1517914712,-6.3053149332
641.0000000000,-0.0727584755,0.7774191724
642.0000000000,-0.0083464264,-0.0862117172
643.0000000000,0.0839004682,3.3193930855
644.0000000000,0.1245731169,-4.1837005845
645.0000000000,0.1392838944,-9.2414847214
646.0000000000,0.0000000000,38.0091958865
647.0000000000,0.0000000000,26.9992804139
648.0000000000,0.0000000000,22.6000520115
649.0000000000,0.0000000000,7.1792405246
650.0000000000,0.0000000000,30.4685131719
