Time(ROS) Frame LO(m) AO(deg)
1570713649.231947422 0001 0.00000 50.35583
1570713649.373734474 0002 0.00000 50.34265
1570713649.542553663 0003 0.00000 50.34379
1570713649.715956211 0004 0.00000 50.34379
1570713649.870321035 0005 0.00000 50.34379
1570713650.351117373 0006 0.00000 50.34379
1570713650.224063158 0007 0.00000 50.34265
1570713650.367771387 0008 0.00000 50.34265
1570713650.548044920 0009 0.00000 50.33921
1570713650.733391523 0010 0.00000 50.33921
1570713650.862592459 0011 0.00000 50.33921
1570713651.709990263 0012 0.00000 50.34093
1570713651.193990946 0013 0.00000 50.34093
1570713651.361793041 0014 0.00000 50.34150
1570713651.569717646 0015 0.00000 50.34150
1570713651.690560818 0016 0.00000 50.34150
1570713651.860716581 0017 0.00000 50.34150
1570713652.586135387 0018 0.00000 50.34150
1570713652.187981844 0019 0.00000 50.34150
1570713652.386662006 0020 0.00000 50.34150
1570713652.521955729 0021 0.00000 50.34150
1570713652.689596653 0022 0.00000 50.34150
1570713652.855075121 0023 0.00000 50.34150
1570713653.181772709 0024 0.00000 50.34150
1570713653.181288719 0025 0.00000 50.34150
1570713653.350491524 0026 0.00000 50.34036
1570713653.522727489 0027 0.00000 50.34036
1570713653.726452589 0028 0.00000 50.34207
1570713653.845829487 0029 0.00000 50.34207
1570713654.111811638 0030 0.00000 50.34207
1570713654.175825119 0031 0.00000 50.34207
1570713654.339677811 0032 0.00000 50.34207
1570713654.510809898 0033 0.00000 50.34207
1570713654.718135595 0034 0.00000 50.34207
1570713654.839741707 0035 0.00000 50.34150
1570713655.426854849 0036 0.00000 50.34150
1570713655.171411753 0037 0.00000 50.34150
1570713655.340218306 0038 0.00000 50.33978
1570713655.545237780 0039 0.00000 50.33978
1570713655.672868490 0040 0.00000 50.33978
1570713655.839678288 0041 0.00000 50.33978
1570713656.373191595 0042 0.00000 50.33978
1570713656.196318388 0043 0.00000 50.33978
1570713656.338202953 0044 0.00000 50.33978
1570713656.555502415 0045 0.00000 50.33978
1570713656.673947096 0046 0.00000 50.33978
1570713656.839333057 0047 0.00000 50.33978
1570713657.526198626 0048 0.00000 50.33978
1570713657.510047436 0049 0.00000 50.33692
1570713657.675077438 0050 0.00000 50.32718
1570713657.841109514 0051 0.00000 50.32489
1570713658.623986244 0052 0.00000 50.31973
1570713658.174057007 0053 0.00000 50.31916
1570713658.343668461 0054 0.00000 50.32259
1570713658.526901007 0055 0.00000 50.32030
1570713658.673181534 0056 0.00000 50.32087
1570713658.839766502 0057 0.00000 50.31744
1570713659.298407555 0058 0.00000 50.31801
1570713659.171722174 0059 0.00000 50.31572
1570713659.358855486 0060 0.00000 50.31457
1570713659.527412653 0061 0.00000 50.31973
1570713659.671662807 0062 0.00000 50.31973
1570713659.838704109 0063 0.00000 50.31343
1570713660.167581558 0064 0.00000 50.31457
1570713660.172330379 0065 0.00000 50.31285
1570713660.354698658 0066 0.00000 50.30770
1570713660.505499125 0067 0.00000 50.30770
1570713660.689117432 0068 0.00000 50.30999
1570713660.845427990 0069 0.00000 50.31113
1570713661.523178816 0070 0.00000 50.31285
1570713661.172056675 0071 0.00000 50.31171
1570713661.338945150 0072 0.00000 50.32374
1570713661.506121159 0073 0.00000 50.33463
1570713661.676616430 0074 0.00000 50.34150
1570713661.838334560 0075 0.00000 50.34723
1570713662.508061409 0076 0.00000 50.35468
1570713662.171663284 0077 0.00000 50.35812
1570713662.339128733 0078 0.00000 50.35525
1570713662.507289171 0079 0.00000 50.35926
1570713662.671787262 0080 0.00000 50.36614
1570713662.838665724 0081 0.00000 50.36958
1570713663.526907206 0082 0.00000 50.38562
1570713663.172956705 0083 0.00000 50.38963
1570713663.338720322 0084 0.00000 50.39765
1570713663.507703543 0085 0.00000 50.38906
1570713663.672102451 0086 0.00000 50.38963
1570713663.838538170 0087 0.00000 50.38734
1570713664.790919304 0088 0.00000 50.38161
1570713664.172122717 0089 0.00000 50.38676
1570713664.339422226 0090 0.00000 50.38505
1570713664.511905670 0091 0.00000 50.38848
1570713664.672368288 0092 0.00000 50.39593
1570713664.858883142 0093 0.00000 50.39708
1570713665.225650787 0094 0.00000 50.40625
1570713665.172142744 0095 0.00000 50.40911
1570713665.339481831 0096 0.00000 50.41197
1570713665.522629738 0097 0.00000 50.41656
1570713665.673777342 0098 0.00000 50.41312
1570713665.841390133 0099 0.00000 50.42057
1570713666.182491064 0100 0.00000 50.42000
1570713666.172270775 0101 0.00000 50.42286
1570713666.359083414 0102 0.00000 50.41770
1570713666.508409739 0103 0.00000 50.41427
1570713666.596511841 0104 0.00000 50.41656
1570713666.766507864 0105 0.00000 50.42687
1570713666.934682846 0106 0.00000 50.42286
1570713667.110320568 0107 0.00000 50.42515
1570713667.295411110 0108 0.00000 50.43031
1570713667.421290874 0109 0.00000 50.44005
1570713667.586343288 0110 0.00000 50.45552
1570713667.754626274 0111 0.00000 50.45781
1570713667.957900047 0112 0.00000 50.46526
1570713668.120174885 0113 0.00000 50.46469
